molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,active,10.3
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,inactive,300000
CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,intermediate,2930
CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,inactive,162000
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,inactive,300000
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,active,999
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
CHEMBL314403,OCC1(O)C(O)C(O)C2(CO)OCC(Nc3ccccc3)=NC12,inactive,300000
CHEMBL314403,OCC1(O)C(O)C(O)C2(CO)OCC(Nc3ccccc3)=NC12,inactive,118000
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,active,402
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,inactive,300000
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,inactive,300000
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,inactive,300000
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,intermediate,1340
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,91900
CHEMBL414447,COC1CNCC(O)C1O,inactive,1000000
CHEMBL110830,O[C@H]1CNC[C@@H](O)[C@@H]1O,inactive,1000000
CHEMBL357108,CC1CNCC(O)C1O,inactive,1000000
CHEMBL150938,C=C1CNCC(O)C1O,inactive,1000000
CHEMBL356023,CCCCN1CC(C)C(O)C(O)C1,inactive,1000000
CHEMBL152232,CCCCN1CC(O)C(O)C(O)C1,inactive,1000000
CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,inactive,500000
CHEMBL458472,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,active,100
CHEMBL515507,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,active,100
CHEMBL506203,COc1cc(C(=O)OCc2ccc(O[C@@H]3O[C@H](COC(=O)/C=C/c4ccc(O)c(O)c4)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)ccc1O,active,34
CHEMBL465330,C#C[C@@H](O)/C=C/CCCCCC#CC#CCCCC#CCCCC#CCCCCCC#CC(=O)O,active,0.25
CHEMBL470465,C#CC(O)/C=C/CCCCCC#CC/C=C\CCCCCCCCCCC/C=C\C#CC(=O)O,active,0.16
CHEMBL465332,C#C[C@@H](O)/C=C/CCCCCCC#C[C@@H](O)/C=C/[C@H](O)C#CCCCCCC/C=C/[C@H](O)C#C,active,4.08
CHEMBL259905,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,inactive,300000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,active,1000
CHEMBL1566,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,inactive,42000
CHEMBL476960,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,intermediate,5600
CHEMBL222396,N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,inactive,57000
CHEMBL1561,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,active,350
CHEMBL478209,OC[C@H]1O[C@@H](OC[C@H]2N[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,inactive,18000
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,active,1000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,active,60
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,active,100
CHEMBL476960,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,active,70
CHEMBL1561,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,active,1000
CHEMBL1566,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,intermediate,5000
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,active,100
CHEMBL574645,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,active,400
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,intermediate,1500
CHEMBL574865,N[C@@H]1[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]12,inactive,1000000
CHEMBL583176,CCCCN[C@@H]1[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]12,inactive,1000000
CHEMBL573995,OC[C@H]1O[C@@H]2[C@@H](NCCCCCOCC34CC5CC(CC(C5)C3)C4)[C@@H]2[C@@H](O)[C@@H]1O,inactive,1000000
CHEMBL584580,CCCC(=O)N[C@@H]1[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]12,inactive,1000000
CHEMBL577370,O=C(CCCCOCC12CC3CC(CC(C3)C1)C2)N[C@@H]1[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]12,inactive,1000000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,intermediate,1500
CHEMBL1561,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,intermediate,2000
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,active,100
CHEMBL574645,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,active,400
CHEMBL175901,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,1000000
CHEMBL1076754,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,inactive,1000000
CHEMBL1086996,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,inactive,1000000
CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,intermediate,6000
CHEMBL1086997,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,intermediate,1500
CHEMBL1088158,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,active,500
CHEMBL179409,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O,inactive,1000000
CHEMBL1088291,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1CO,inactive,500000
CHEMBL1088292,OC[C@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,inactive,500000
CHEMBL1892795,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)C(Cl)(Cl)C(=O)N4)CC2)cc1,inactive,41050
CHEMBL2181103,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,intermediate,1630
CHEMBL1892795,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)C(Cl)(Cl)C(=O)N4)CC2)cc1,inactive,32610
CHEMBL2181103,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,intermediate,1630
CHEMBL2181098,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc(CO)cc4)CC3)ccc2N1,inactive,12980
CHEMBL2181097,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc(C(=O)O)cc4)CC3)ccc2N1,intermediate,1460
CHEMBL2181096,COC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1,inactive,36610
CHEMBL2181095,O=Cc1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1,intermediate,4110
CHEMBL2181094,O=C1Cc2cc(S(=O)(=O)N3CCN(c4cccc(C(F)(F)F)c4)CC3)ccc2N1,inactive,14940
CHEMBL2181091,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc2N1,inactive,94310
CHEMBL2181089,O=C1Cc2cc(S(=O)(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)ccc2N1,intermediate,3260
CHEMBL2180816,N#Cc1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1,intermediate,3260
